product_id,product_name,category_id,category_name,price
2000,Always Spring,32,Argue,519.61
2001,Put Hotel,30,Early,512.81
2002,Option Stay,15,Return,561.62
2003,Forget Age,45,Clear,206.11
2004,High Garden,11,Think,289.81
2005,None Product,34,Today,454.7
2006,End Season,25,Economic,55.63
2007,Either Peace,40,Money,360.16
2008,Tend Month,12,Agreement,500.11
2009,Eight Real,42,Step,472.3
2010,Soon Out,17,Weight,506.22
2011,Fight Every,23,Your,324.34
2012,Thank Sister,49,Mind,573.97
2013,Personal Really,45,Ask,44.81
2014,That Wall,48,Light,616.63
2015,Work Now,31,Behind,84.86
2016,Outside Coach,16,Where,85.91
2017,Star Goal,31,Country,142.53
2018,Culture Look,37,Any,416.93
2019,Mrs Section,24,Hand,356.3
2020,Night House,44,Than,588.71
2021,Police Story,45,However,598.31
2022,Against Cause,26,Should,219.32
2023,Institution Owner,13,Increase,874.55
2024,Unit Care,31,Check,919.76
2025,Note Game,35,Positive,732.15
2026,Former Worry,31,Nearly,436.41
2027,Sign Trade,13,Serve,304.03
2028,Create Military,24,Guy,482.63
2029,Sing He,48,Similar,161.9
2030,Form Bring,33,Oil,163.81
2031,Yourself Radio,20,On,877.15
2032,Nature Health,24,Senior,947.39
2033,Thus Answer,38,Follow,318.73
2034,Soon Include,13,Win,495.1
2035,Fall Air,13,Public,808.23
2036,Red Face,10,Little,745.61
2037,Along Play,11,Wait,489.36
2038,Green Really,44,Attention,903.53
2039,Position Challenge,49,Wide,732.42
2040,Commercial Since,29,Law,616.89
2041,Because Eat,15,Customer,175.75
2042,Drive Ok,10,Other,978.93
2043,Special Example,49,Concern,340.8
2044,Event Drop,25,Air,438.54
2045,Teacher Must,38,Strong,417.6
2046,Why Girl,13,Somebody,674.66
2047,Challenge Less,36,View,29.35
2048,Hard Group,39,Recent,61.55
2049,Art Owner,48,Significant,414.36
2050,Many Consumer,15,Production,51.09
2051,Test Kitchen,31,Sing,599.62
2052,Before Test,14,Fire,616.87
2053,Include Action,26,Data,919.23
2054,There For,49,Role,346.08
2055,Lawyer Yet,19,Take,817.94
2056,Star Discuss,25,Product,432.42
2057,Rock Age,11,Necessary,226.6
2058,These Owner,38,Edge,66.54
2059,Affect Score,30,Free,751.04
2060,Seem Money,14,Win,93.17
2061,Thought Point,36,Available,170.44
2062,Teacher Yeah,37,Movement,946.63
2063,Military Three,40,Economic,101.43
2064,Sign Win,30,Appear,63.86
2065,Tree Street,45,Authority,307.0
2066,Prove Dog,47,House,20.96
2067,Community Tv,12,If,677.25
2068,Through Adult,35,Although,629.19
2069,Like Reveal,32,Early,396.85
2070,Yourself Turn,21,Man,510.59
2071,Ask Picture,20,Congress,238.84
2072,Vote Together,27,President,119.2
2073,Author Charge,38,Fact,959.53
2074,Wife Necessary,21,Administration,213.0
2075,Husband Its,10,Out,810.94
2076,Defense Stay,27,Something,401.99
2077,Company Project,23,Law,339.61
2078,Child Talk,39,White,50.85
2079,Truth Main,42,Especially,860.7
2080,Get Reach,46,Beautiful,23.77
2081,Simply Compare,38,Director,824.77
2082,Commercial How,43,Hand,916.3
2083,Energy Newspaper,45,Live,848.13
2084,Different Need,16,Type,835.33
2085,Air Continue,17,West,322.33
2086,Off Option,40,Offer,448.39
2087,Remain Room,27,Dog,884.7
2088,Leave List,19,Choose,731.49
2089,Later Five,36,Watch,109.94
2090,Service Authority,48,Notice,748.84
2091,During Close,34,Group,556.91
2092,Class Really,36,Improve,91.62
2093,Difference Wait,25,Same,617.12
2094,Wind Pattern,40,Great,919.51
2095,Perform Fund,38,Newspaper,390.64
2096,Hand Require,28,Best,424.42
2097,Floor Consider,44,Listen,761.49
2098,Top Magazine,12,Person,787.15
2099,Per Any,38,Seven,733.13
2100,Thought Stuff,28,Type,634.28
2101,Attorney Table,16,Here,504.58
2102,Industry Choice,34,Know,511.55
2103,Get Structure,24,Nor,422.5
2104,Vote Stage,17,Hair,255.42
2105,Such Strong,16,Writer,986.44
2106,Claim Attorney,32,Hit,823.23
2107,Condition Summer,48,Difference,300.18
2108,Tell Whom,39,Ever,846.14
2109,Teach Include,21,Father,701.13
2110,Door Officer,19,Debate,781.18
2111,Claim Less,32,Join,719.24
2112,Where Responsibility,34,Water,447.16
2113,Heart Spend,17,Continue,950.02
2114,Back Consider,11,Mention,206.58
2115,Already White,39,Ball,353.27
2116,Strategy Near,30,Suddenly,813.39
2117,Teacher Office,13,Scientist,305.9
2118,Four Tend,14,They,755.41
2119,Big Difficult,11,This,553.67
